gene,log fold change,p-value,adjusted p-value,cluster
DCN,1.2356126,0.0,0.0,Fib1
MMP2,2.3925738,0.0,0.0,Fib1
WISP2,3.01588,0.0,0.0,Fib1
MFAP5,2.84013,0.0,0.0,Fib1
SCARA5,2.7351117,0.0,0.0,Fib1
FSTL1,1.7228122,0.0,0.0,Fib1
FBLN1,1.7860656,0.0,0.0,Fib1
CD55,2.841603,0.0,0.0,Fib1
FBN1,2.3217552,0.0,0.0,Fib1
CLEC3B,2.862261,0.0,0.0,Fib1
PI16,2.6469066,0.0,0.0,Fib1
TIMP2,1.4250215,0.0,0.0,Fib1
ANXA2,1.0769697,0.0,0.0,Fib1
ACTB,1.0556843,0.0,0.0,Fib1
CTSK,1.313368,0.0,0.0,Fib1
S100A10,1.0926056,0.0,0.0,Fib1
CYBRD1,1.48102,0.0,0.0,Fib1
IGFBP5,1.883597,0.0,0.0,Fib1
TIMP3,1.5654985,0.0,0.0,Fib1
CLU,1.8378791,0.0,0.0,Fib1
S100A6,0.8576096,0.0,0.0,Fib1
SH3BGRL3,1.5598731,0.0,0.0,Fib1
CCDC80,1.2798047,0.0,0.0,Fib1
IGFBP6,1.9180944,0.0,0.0,Fib1
CST3,1.0406944,0.0,0.0,Fib1
PCOLCE2,3.1250365,0.0,0.0,Fib1
COL1A2,0.978929,0.0,0.0,Fib1
CHRDL1,2.0665004,0.0,0.0,Fib1
ACTG1,0.8091033,0.0,0.0,Fib1
GPNMB,1.3353208,0.0,0.0,Fib1
CD34,1.8188739,0.0,0.0,Fib1
CTHRC1,1.7601101,0.0,0.0,Fib1
SPARC,1.0852559,0.0,0.0,Fib1
AQP1,1.6812679,0.0,0.0,Fib1
CD248,1.6349168,0.0,0.0,Fib1
ISLR,1.3894931,0.0,0.0,Fib1
SLPI,3.602925,0.0,0.0,Fib1
THBS2,1.4614494,0.0,0.0,Fib1
MYADM,1.5593036,4.76651882431397e-310,9.10107188017448e-308,Fib1
DPP4,2.9878564,1.9402197430204e-300,3.614250801784952e-298,Fib1
CD59,1.1986561,7.882117727370014e-296,1.4505945576575536e-293,Fib1
PTGIS,2.1404855,2.739172521194674e-294,4.981054793005791e-292,Fib1
FBLN2,1.1426564,3.387060740778219e-285,5.946822162688194e-283,Fib1
TGFBR3,1.5183421,2.6789322477719618e-278,4.597830346597384e-276,Fib1
CYB5R3,1.1962843,8.343445100513243e-278,1.4160680434482198e-275,Fib1
PAM,1.292286,2.849649480159264e-276,4.731347370590517e-274,Fib1
TUBA1A,1.191424,4.519507872494054e-276,7.423170188424374e-274,Fib1
FHL1,1.2483958,1.2187200010235438e-275,1.9804200016632586e-273,Fib1
PMP22,0.9919772,6.81048410675113e-263,1.0508095427335707e-260,Fib1
S100A11,0.9747932,2.823309681553752e-262,4.312605538573356e-260,Fib1
RHOA,0.9615505,2.089493221195224e-260,3.1600998964115886e-258,Fib1
XG,1.6066208,4.089024603492743e-257,6.123514786112907e-255,Fib1
COL1A1,1.0407875,1.3028272032851846e-251,1.877423163224641e-249,Fib1
