"","gene","log.fold.change","p.value","adjusted.p.value","cluster","adjusted.p.value_minus_log10"
"1","WISP2",6.691909,0,1.13225859916835e-307,"Fib1",306.946054372295
"2","SCARA5",6.1632824,0,1.13225859916835e-307,"Fib1",306.946054372295
"3","CLU",4.849216,0,1.13225859916835e-307,"Fib1",306.946054372295
"4","DCN",1.9807383,0,1.13225859916835e-307,"Fib1",306.946054372295
"5","FBLN1",3.146318,0,1.13225859916835e-307,"Fib1",306.946054372295
"6","SFRP2",4.3191056,0,1.13225859916835e-307,"Fib1",306.946054372295
"7","CLEC3B",4.2073245,0,1.13225859916835e-307,"Fib1",306.946054372295
"8","CST3",2.4958744,0,1.13225859916835e-307,"Fib1",306.946054372295
"9","CFD",2.7922688,0,1.13225859916835e-307,"Fib1",306.946054372295
"10","PI16",3.4960206,0,1.13225859916835e-307,"Fib1",306.946054372295
"11","CHRDL1",4.6122212,0,1.13225859916835e-307,"Fib1",306.946054372295
"12","ADH1B",4.2728996,0,1.13225859916835e-307,"Fib1",306.946054372295
"13","MMP2",2.2461026,0,1.13225859916835e-307,"Fib1",306.946054372295
"14","GSN",2.4418917,0,1.13225859916835e-307,"Fib1",306.946054372295
"15","TIMP3",2.6383743,0,1.13225859916835e-307,"Fib1",306.946054372295
"16","CD34",3.493007,0,1.13225859916835e-307,"Fib1",306.946054372295
"17","CCDC80",2.3953772,0,1.13225859916835e-307,"Fib1",306.946054372295
"18","IGFBP6",3.2654026,0,1.13225859916835e-307,"Fib1",306.946054372295
"19","CTHRC1",3.3694837,0,1.13225859916835e-307,"Fib1",306.946054372295
"20","S100A6",1.6724424,0,1.13225859916835e-307,"Fib1",306.946054372295
"21","C3",3.5613525,0,1.13225859916835e-307,"Fib1",306.946054372295
"22","APOD",2.6001973,0,1.13225859916835e-307,"Fib1",306.946054372295
"23","PCOLCE2",4.826746,0,1.13225859916835e-307,"Fib1",306.946054372295
"24","CYBRD1",2.2482865,0,1.13225859916835e-307,"Fib1",306.946054372295
"25","IGFBP5",2.679778,0,1.13225859916835e-307,"Fib1",306.946054372295
"26","CFH",2.4584985,0,1.13225859916835e-307,"Fib1",306.946054372295
"27","ABI3BP",3.5861015,0,1.13225859916835e-307,"Fib1",306.946054372295
"28","PTGIS",4.1490397,0,1.13225859916835e-307,"Fib1",306.946054372295
"29","FHL1",2.5356946,0,1.13225859916835e-307,"Fib1",306.946054372295
"30","FBN1",2.4208992,0,1.13225859916835e-307,"Fib1",306.946054372295
"31","C1R",2.0810378,0,1.13225859916835e-307,"Fib1",306.946054372295
